Date,Y10,Y1,Y3,Y5,Repo
2006-04-30,7.39,6.313,6.724,6.979,6.5
2006-05-31,7.659,6.465,6.854,7.242,6.5
2006-06-30,8.151,7.043,7.335,7.691,6.75
2006-07-31,8.238,6.877,7.326,7.843,7.0
2006-08-31,7.891,6.819,7.326,7.569,7.0
2006-09-30,7.642,6.777,7.246,7.426,7.0
2006-10-31,7.625,7.073,7.277,7.465,7.25
2006-11-30,7.424,6.979,7.162,7.314,7.25
2006-12-31,7.619,7.319,7.423,7.53,7.25
2007-01-31,7.738,7.245,7.659,7.637,7.5
2007-02-28,8.0,7.651,7.882,7.945,7.5
2007-03-31,8.022,7.694,7.987,7.96,7.5
2007-04-30,8.173,8.042,8.134,8.128,7.75
2007-05-31,8.08,7.623,7.848,7.966,7.75
2007-06-30,8.187,7.538,7.841,7.927,7.75
2007-07-31,7.845,7.012,7.386,7.492,7.75
2007-08-31,7.93,7.183,7.763,7.792,7.75
2007-09-30,7.925,7.096,7.78,7.805,7.75
2007-10-31,7.839,7.255,7.75,7.768,7.75
2007-11-30,7.905,7.564,7.814,7.887,7.75
2007-12-31,7.791,7.732,7.696,7.81,7.75
2008-01-31,7.529,7.473,7.515,7.503,7.75
2008-02-29,7.568,7.504,7.454,7.554,7.75
2008-03-31,7.938,7.564,7.617,7.771,7.75
2008-04-30,7.956,7.767,7.894,7.913,7.75
2008-05-31,8.101,7.892,7.989,8.049,7.75
2008-06-30,8.713,9.225,9.292,8.91,8.5
2008-07-31,9.316,9.433,9.341,9.367,9.0
2008-08-31,8.7,9.149,9.167,8.855,9.0
2008-09-30,8.617,8.92,8.634,8.558,9.0
2008-10-31,7.478,7.52,7.353,7.53,8.0
2008-11-30,7.08,7.195,6.883,7.14,7.5
2008-12-31,5.26,4.836,5.308,5.381,6.5
2009-01-31,6.187,4.625,5.575,5.982,5.5
2009-02-28,6.328,4.685,5.566,5.878,5.5
2009-03-31,7.014,4.899,6.101,6.763,5.0
2009-04-30,6.242,3.957,5.465,6.078,4.75
2009-05-31,6.71,3.983,5.814,6.483,4.75
2009-06-30,7.013,4.227,5.865,6.71,4.75
2009-07-31,6.998,4.183,5.839,6.749,4.75
2009-08-31,7.434,4.753,6.444,7.172,4.75
2009-09-30,7.215,4.476,6.607,7.164,4.75
2009-10-31,7.306,4.271,6.555,7.414,4.75
2009-11-30,7.257,5.076,6.29,7.051,4.75
2009-12-31,7.679,5.288,6.436,7.266,4.75
2010-01-31,7.591,4.762,6.165,7.154,4.75
2010-02-28,7.864,5.034,6.927,7.343,4.75
2010-03-31,7.85,5.159,6.751,7.306,5.0
2010-04-30,8.061,4.86,6.554,7.433,5.25
2010-05-31,7.564,5.031,6.566,7.413,5.25
2010-06-30,7.561,5.324,6.767,7.393,5.25
2010-07-31,7.803,6.29,7.127,7.626,5.75
2010-08-31,7.936,6.365,7.18,7.668,5.75
2010-09-30,7.852,6.516,7.244,7.701,6.0
2010-10-31,8.121,6.906,7.284,7.83,6.0
2010-11-30,8.066,7.276,7.455,7.916,6.25
2010-12-31,7.913,7.49,7.529,7.853,6.25
2011-01-31,8.148,7.555,7.891,8.12,6.5
2011-02-28,7.992,7.504,7.913,8.108,6.5
2011-03-31,7.985,7.529,7.885,7.995,6.75
2011-04-30,8.135,7.907,8.088,8.239,6.75
2011-05-31,8.411,8.296,8.3,8.49,7.25
2011-06-30,8.326,8.115,8.185,8.358,7.5
2011-07-31,8.454,8.377,8.333,8.443,8.0
2011-08-31,8.319,8.266,8.219,8.344,8.0
2011-09-30,8.442,8.277,8.303,8.413,8.25
2011-10-31,8.879,8.678,8.558,8.842,8.5
2011-11-30,8.738,8.674,8.581,8.729,8.5
2011-12-31,8.56,8.559,8.128,8.468,8.5
2012-01-31,8.267,8.565,8.149,8.276,8.5
2012-02-29,8.199,8.815,8.224,8.33,8.5
2012-03-31,8.572,8.062,8.166,8.578,8.5
2012-04-30,8.671,7.924,8.296,8.421,8.0
2012-05-31,8.377,7.98,8.133,8.288,8.0
2012-06-30,8.38,7.996,8.04,8.162,8.0
2012-07-31,8.245,8.081,8.026,8.185,8.0
2012-08-31,8.241,7.895,8.004,8.231,8.0
2012-09-30,8.149,7.89,8.009,8.181,8.0
2012-10-31,8.215,7.904,7.987,8.186,8.0
2012-11-30,8.175,8.029,7.99,8.163,8.0
2012-12-31,8.049,7.946,7.925,8.024,8.0
2013-01-31,7.912,7.832,7.807,7.981,7.75
2013-02-28,7.872,7.849,7.843,7.936,7.75
2013-03-31,7.96,7.927,7.83,7.964,7.5
2013-04-30,7.731,7.508,7.46,7.552,7.5
2013-05-31,7.443,7.258,7.348,7.376,7.25
2013-06-30,7.439,7.508,7.583,7.617,7.25
2013-07-31,8.172,9.128,8.856,8.858,7.25
2013-08-31,8.596,10.23,9.232,9.349,7.25
2013-09-30,8.766,9.118,8.664,8.849,7.5
2013-10-31,8.625,8.843,8.276,8.543,7.75
2013-11-30,9.044,8.971,8.454,8.666,7.75
2013-12-31,8.82,8.978,8.509,8.934,7.75
2014-01-31,8.77,8.826,8.753,8.918,8.0
2014-02-28,8.862,8.967,8.868,8.976,8.0
2014-03-31,8.804,8.495,8.75,8.87,8.0
2014-04-30,8.828,8.585,8.64,8.801,8.0
2014-05-31,8.645,8.288,8.459,8.549,8.0
2014-06-30,8.744,8.287,8.376,8.645,8.0
2014-07-31,8.718,8.21,8.499,8.454,8.0
2014-08-31,8.559,8.636,8.446,8.623,8.0
2014-09-30,8.511,8.7,8.393,8.557,8.0
2014-10-31,8.278,8.358,8.232,8.277,8.0
2014-11-30,8.087,8.245,8.178,8.137,8.0
2014-12-31,7.855,8.102,7.964,7.992,8.0
2015-01-31,7.691,8.056,7.716,7.672,7.75
2015-02-28,7.724,7.874,7.792,7.777,7.75
2015-03-31,7.738,7.797,7.791,7.746,7.5
2015-04-30,7.86,7.866,7.865,7.88,7.5
2015-05-31,7.815,7.728,7.784,7.841,7.5
2015-06-30,7.861,7.677,7.871,8.063,7.25
2015-07-31,7.806,7.586,7.885,7.938,7.25
2015-08-31,7.784,7.421,7.816,7.912,7.25
2015-09-30,7.539,7.186,7.506,7.624,6.75
2015-10-31,7.64,7.198,7.471,7.682,6.75
2015-11-30,7.786,7.247,7.499,7.845,6.75
2015-12-31,7.758,7.299,7.618,7.735,6.75
2016-01-31,7.779,7.22,7.454,7.621,6.75
2016-02-29,7.623,7.262,7.574,7.734,6.75
2016-03-31,7.459,7.2,7.372,7.524,6.75
2016-04-30,7.435,7.0,7.269,7.465,6.5
2016-05-31,7.471,7.02,7.22,7.437,6.5
2016-06-30,7.448,6.968,7.134,7.397,6.5
2016-07-31,7.163,6.821,6.904,7.047,6.5
2016-08-31,7.11,6.789,6.877,7.019,6.5
2016-09-30,6.958,6.631,6.726,6.88,6.5
2016-10-31,6.885,6.61,6.573,6.706,6.25
2016-11-30,6.243,6.037,6.033,6.2,6.25
2016-12-31,6.512,6.326,6.457,6.649,6.25
2017-01-31,6.407,6.256,6.366,6.562,6.25
2017-02-28,6.87,6.325,6.582,6.992,6.25
2017-03-31,6.658,6.239,6.569,6.861,6.25
2017-04-30,6.961,6.401,6.789,7.054,6.25
2017-05-31,6.661,6.529,6.616,6.91,6.25
2017-06-30,6.511,6.408,6.504,6.741,6.25
2017-07-31,6.465,6.299,6.456,6.556,6.25
2017-08-31,6.525,6.292,6.406,6.5,6.0
2017-09-30,6.663,6.05,6.456,6.66,6.0
2017-10-31,6.862,6.259,6.512,6.751,6.0
2017-11-30,7.058,6.349,6.655,6.896,6.0
2017-12-31,7.326,6.601,6.97,7.145,6.0
2018-01-31,7.43,6.651,7.08,7.324,6.0
2018-02-28,7.726,6.652,7.194,7.46,6.0
2018-03-31,7.398,6.563,7.086,7.315,6.0
2018-04-30,7.767,6.786,7.57,7.78,6.0
2018-05-31,7.826,7.07,7.691,7.834,6.0
2018-06-30,7.903,7.019,7.752,7.945,6.25
2018-07-31,7.772,7.248,7.667,7.898,6.25
2018-08-31,7.951,7.341,7.795,8.009,6.5
2018-09-30,8.024,7.753,7.958,8.072,6.5
2018-10-31,7.853,7.483,7.651,7.825,6.5
2018-11-30,7.607,7.174,7.419,7.516,6.5
2018-12-31,7.37,6.814,7.1,7.24,6.5
2019-01-31,7.483,6.736,6.976,7.222,6.5
2019-02-28,7.591,6.565,6.778,7.09,6.25
2019-03-31,7.346,6.432,6.659,6.933,6.25
2019-04-30,7.414,6.565,7.034,7.336,6.0
2019-05-31,7.032,6.257,6.672,6.846,6.0
2019-06-30,6.879,6.189,6.569,6.766,5.75
2019-07-31,6.369,5.897,6.209,6.301,5.75
2019-08-31,6.556,5.769,6.063,6.366,5.4
2019-09-30,6.695,5.763,6.126,6.47,5.4
2019-10-31,6.643,5.479,5.935,6.287,5.15
2019-11-30,6.46,5.321,6.004,6.252,5.15
2019-12-31,6.554,5.562,6.357,6.477,5.15
2020-01-31,6.599,5.435,6.212,6.401,5.15
2020-02-29,6.371,5.236,5.657,5.868,5.15
2020-03-31,6.138,4.897,5.399,5.578,4.4
2020-04-30,6.11,3.933,4.725,5.15,4.4
2020-05-31,6.013,3.619,4.579,5.426,4.0
2020-06-30,5.888,3.732,4.401,5.281,4.0
2020-07-31,5.837,3.66,4.404,4.988,4.0
2020-08-31,6.078,3.741,4.994,5.472,4.0
2020-09-30,6.015,3.708,4.939,5.391,4.0
2020-10-31,5.881,3.473,4.628,5.165,4.0
2020-11-30,5.911,3.33,4.421,5.075,4.0
2020-12-31,5.894,3.762,4.406,5.099,4.0
2021-01-31,5.949,3.904,4.708,5.297,4.0
2021-02-28,6.229,4.071,5.04,5.771,4.0
2021-03-31,6.177,3.926,4.929,5.705,4.0
2021-04-30,6.03,3.819,4.773,5.42,4.0
2021-05-31,6.022,3.765,4.699,5.588,4.0
2021-06-30,6.051,4.09,4.893,5.72,4.0
2021-07-31,6.204,4.041,4.624,5.726,4.0
2021-08-31,6.215,3.849,4.827,5.651,4.0
2021-09-30,6.223,4.026,4.933,5.66,4.0
2021-10-31,6.388,4.107,5.124,5.864,4.0
2021-11-30,6.326,4.259,5.084,5.693,4.0
2021-12-31,6.454,4.367,5.296,5.862,4.0
2022-01-31,6.684,4.486,5.296,6.03,4.0
2022-02-28,6.77,4.377,5.591,6.047,4.0
2022-03-31,6.843,4.321,5.674,6.101,4.0
2022-04-30,7.139,4.814,6.219,6.683,4.0
2022-05-31,7.415,6.013,6.935,7.21,4.4
2022-06-30,7.45,6.207,6.96,7.255,4.9
2022-07-31,7.32,6.347,6.753,7.074,4.9
2022-08-31,7.188,6.343,6.875,6.986,5.4
2022-09-30,7.398,6.7,7.218,7.317,5.9
2022-10-31,7.445,6.814,7.352,7.377,5.9
2022-11-30,7.28,6.757,7.055,7.13,5.9
2022-12-31,7.327,6.745,7.141,7.227,6.25
2023-01-31,7.343,6.771,7.132,7.215,6.25
2023-02-28,7.457,7.299,7.379,7.438,6.5
2023-03-31,7.315,7.138,7.155,7.167,6.5
2023-04-30,7.116,6.905,6.965,7.031,6.5
2023-05-31,6.989,6.774,6.878,6.916,6.5
2023-06-30,7.11,6.856,7.046,7.078,6.5
2023-07-31,7.172,6.897,7.115,7.156,6.5
2023-08-31,7.166,7.003,7.159,7.156,6.5
2023-09-30,7.21,6.975,7.262,7.233,6.5
2023-10-31,7.351,7.331,7.303,7.348,6.5
2023-11-30,7.279,7.226,7.254,7.289,6.5
2023-12-31,7.176,7.11,7.084,7.065,6.5
2024-01-31,7.144,7.096,7.033,7.028,6.5
2024-02-29,7.078,7.037,7.063,7.059,6.5
2024-03-31,7.052,6.975,7.053,7.051,6.5
2024-04-30,7.195,7.059,7.188,7.209,6.5
2024-05-31,6.986,6.939,7.053,7.054,6.5
2024-06-30,7.008,6.936,6.977,7.022,6.5
2024-07-31,6.924,6.839,6.828,6.846,6.5
2024-08-31,6.863,6.743,6.75,6.772,6.5
2024-09-30,6.75,6.615,6.664,6.669,6.5
2024-10-31,6.841,6.611,6.744,6.774,6.5
2024-11-30,6.751,6.715,6.72,6.705,6.5
2024-12-31,6.759,6.672,6.717,6.724,6.5
2025-01-31,6.694,6.573,6.608,6.624,6.5
2025-02-28,6.72,6.57,6.58,6.64,6.25
2025-03-31,6.58,6.39,6.44,6.45,6.25
