horizon,response,shock,fevd
0,Repo,Repo,1.0
0,Repo,Y1,0.0
0,Repo,Y3,0.0
0,Repo,Y5,0.0
0,Repo,Y10,0.0
0,Y1,Repo,0.173204
0,Y1,Y1,0.826796
0,Y1,Y3,0.0
0,Y1,Y5,0.0
0,Y1,Y10,0.0
0,Y3,Repo,0.146334
0,Y3,Y1,0.49284
0,Y3,Y3,0.360825
0,Y3,Y5,0.0
0,Y3,Y10,0.0
0,Y5,Repo,0.092004
0,Y5,Y1,0.472295
0,Y5,Y3,0.251321
0,Y5,Y5,0.184381
0,Y5,Y10,0.0
0,Y10,Repo,0.102279
0,Y10,Y1,0.308541
0,Y10,Y3,0.170023
0,Y10,Y5,0.174887
0,Y10,Y10,0.244269
1,Repo,Repo,0.875316
1,Repo,Y1,0.104488
1,Repo,Y3,0.018141
1,Repo,Y5,0.001781
1,Repo,Y10,0.000273
1,Y1,Repo,0.198729
1,Y1,Y1,0.732376
1,Y1,Y3,0.046107
1,Y1,Y5,0.001928
1,Y1,Y10,0.02086
1,Y3,Repo,0.160234
1,Y3,Y1,0.463128
1,Y3,Y3,0.361119
1,Y3,Y5,0.001818
1,Y3,Y10,0.013702
1,Y5,Repo,0.104945
1,Y5,Y1,0.429332
1,Y5,Y3,0.256219
1,Y5,Y5,0.202673
1,Y5,Y10,0.006832
1,Y10,Repo,0.105473
1,Y10,Y1,0.286419
1,Y10,Y3,0.173228
1,Y10,Y5,0.193557
1,Y10,Y10,0.241323
2,Repo,Repo,0.861686
2,Repo,Y1,0.106122
2,Repo,Y3,0.026742
2,Repo,Y5,0.001825
2,Repo,Y10,0.003625
2,Y1,Repo,0.202845
2,Y1,Y1,0.727497
2,Y1,Y3,0.047108
2,Y1,Y5,0.001909
2,Y1,Y10,0.020641
2,Y3,Repo,0.162311
2,Y3,Y1,0.462427
2,Y3,Y3,0.359759
2,Y3,Y5,0.00184
2,Y3,Y10,0.013663
2,Y5,Repo,0.105812
2,Y5,Y1,0.427917
2,Y5,Y3,0.254573
2,Y5,Y5,0.204873
2,Y5,Y10,0.006825
2,Y10,Repo,0.106014
2,Y10,Y1,0.285605
2,Y10,Y3,0.172403
2,Y10,Y5,0.195861
2,Y10,Y10,0.240118
3,Repo,Repo,0.860278
3,Repo,Y1,0.106666
3,Repo,Y3,0.027534
3,Repo,Y5,0.001851
3,Repo,Y10,0.00367
3,Y1,Repo,0.203384
3,Y1,Y1,0.726565
3,Y1,Y3,0.04741
3,Y1,Y5,0.00194
3,Y1,Y10,0.020701
3,Y3,Repo,0.1626
3,Y3,Y1,0.462184
3,Y3,Y3,0.359631
3,Y3,Y5,0.001874
3,Y3,Y10,0.013711
3,Y5,Repo,0.106074
3,Y5,Y1,0.427419
3,Y5,Y3,0.254495
3,Y5,Y5,0.205193
3,Y5,Y10,0.006818
3,Y10,Repo,0.106167
3,Y10,Y1,0.285384
3,Y10,Y3,0.172396
3,Y10,Y5,0.196195
3,Y10,Y10,0.239859
4,Repo,Repo,0.860036
4,Repo,Y1,0.106754
4,Repo,Y3,0.027659
4,Repo,Y5,0.001852
4,Repo,Y10,0.003699
4,Y1,Repo,0.203472
4,Y1,Y1,0.726431
4,Y1,Y3,0.047452
4,Y1,Y5,0.00194
4,Y1,Y10,0.020705
4,Y3,Repo,0.162647
4,Y3,Y1,0.462154
4,Y3,Y3,0.359612
4,Y3,Y5,0.001874
4,Y3,Y10,0.013714
4,Y5,Repo,0.106096
4,Y5,Y1,0.427383
4,Y5,Y3,0.254467
4,Y5,Y5,0.205223
4,Y5,Y10,0.006831
4,Y10,Repo,0.106178
4,Y10,Y1,0.285368
4,Y10,Y3,0.172381
4,Y10,Y5,0.196229
4,Y10,Y10,0.239845
5,Repo,Repo,0.86
5,Repo,Y1,0.106765
5,Repo,Y3,0.027679
5,Repo,Y5,0.001853
5,Repo,Y10,0.003702
5,Y1,Repo,0.203485
5,Y1,Y1,0.72641
5,Y1,Y3,0.047459
5,Y1,Y5,0.00194
5,Y1,Y10,0.020706
5,Y3,Repo,0.162654
5,Y3,Y1,0.462149
5,Y3,Y3,0.359609
5,Y3,Y5,0.001874
5,Y3,Y10,0.013714
5,Y5,Repo,0.106103
5,Y5,Y1,0.427373
5,Y5,Y3,0.254465
5,Y5,Y5,0.205228
5,Y5,Y10,0.006831
5,Y10,Repo,0.106182
5,Y10,Y1,0.285363
5,Y10,Y3,0.172381
5,Y10,Y5,0.196234
5,Y10,Y10,0.23984
6,Repo,Repo,0.859995
6,Repo,Y1,0.106767
6,Repo,Y3,0.027682
6,Repo,Y5,0.001853
6,Repo,Y10,0.003703
6,Y1,Repo,0.203487
6,Y1,Y1,0.726407
6,Y1,Y3,0.04746
6,Y1,Y5,0.00194
6,Y1,Y10,0.020706
6,Y3,Repo,0.162655
6,Y3,Y1,0.462148
6,Y3,Y3,0.359608
6,Y3,Y5,0.001874
6,Y3,Y10,0.013714
6,Y5,Repo,0.106103
6,Y5,Y1,0.427372
6,Y5,Y3,0.254465
6,Y5,Y5,0.205229
6,Y5,Y10,0.006831
6,Y10,Repo,0.106182
6,Y10,Y1,0.285363
6,Y10,Y3,0.172381
6,Y10,Y5,0.196235
6,Y10,Y10,0.23984
7,Repo,Repo,0.859994
7,Repo,Y1,0.106768
7,Repo,Y3,0.027683
7,Repo,Y5,0.001853
7,Repo,Y10,0.003703
7,Y1,Repo,0.203488
7,Y1,Y1,0.726407
7,Y1,Y3,0.04746
7,Y1,Y5,0.00194
7,Y1,Y10,0.020706
7,Y3,Repo,0.162655
7,Y3,Y1,0.462148
7,Y3,Y3,0.359608
7,Y3,Y5,0.001874
7,Y3,Y10,0.013714
7,Y5,Repo,0.106103
7,Y5,Y1,0.427372
7,Y5,Y3,0.254465
7,Y5,Y5,0.205229
7,Y5,Y10,0.006831
7,Y10,Repo,0.106182
7,Y10,Y1,0.285363
7,Y10,Y3,0.172381
7,Y10,Y5,0.196235
7,Y10,Y10,0.239839
8,Repo,Repo,0.859994
8,Repo,Y1,0.106768
8,Repo,Y3,0.027683
8,Repo,Y5,0.001853
8,Repo,Y10,0.003703
8,Y1,Repo,0.203488
8,Y1,Y1,0.726406
8,Y1,Y3,0.04746
8,Y1,Y5,0.00194
8,Y1,Y10,0.020706
8,Y3,Repo,0.162655
8,Y3,Y1,0.462148
8,Y3,Y3,0.359608
8,Y3,Y5,0.001874
8,Y3,Y10,0.013714
8,Y5,Repo,0.106103
8,Y5,Y1,0.427372
8,Y5,Y3,0.254465
8,Y5,Y5,0.205229
8,Y5,Y10,0.006831
8,Y10,Repo,0.106182
8,Y10,Y1,0.285363
8,Y10,Y3,0.172381
8,Y10,Y5,0.196235
8,Y10,Y10,0.239839
9,Repo,Repo,0.859994
9,Repo,Y1,0.106768
9,Repo,Y3,0.027683
9,Repo,Y5,0.001853
9,Repo,Y10,0.003703
9,Y1,Repo,0.203488
9,Y1,Y1,0.726406
9,Y1,Y3,0.04746
9,Y1,Y5,0.00194
9,Y1,Y10,0.020706
9,Y3,Repo,0.162655
9,Y3,Y1,0.462148
9,Y3,Y3,0.359608
9,Y3,Y5,0.001874
9,Y3,Y10,0.013714
9,Y5,Repo,0.106103
9,Y5,Y1,0.427372
9,Y5,Y3,0.254465
9,Y5,Y5,0.205229
9,Y5,Y10,0.006831
9,Y10,Repo,0.106182
9,Y10,Y1,0.285363
9,Y10,Y3,0.172381
9,Y10,Y5,0.196235
9,Y10,Y10,0.239839
10,Repo,Repo,0.859994
10,Repo,Y1,0.106768
10,Repo,Y3,0.027683
10,Repo,Y5,0.001853
10,Repo,Y10,0.003703
10,Y1,Repo,0.203488
10,Y1,Y1,0.726406
10,Y1,Y3,0.04746
10,Y1,Y5,0.00194
10,Y1,Y10,0.020706
10,Y3,Repo,0.162655
10,Y3,Y1,0.462148
10,Y3,Y3,0.359608
10,Y3,Y5,0.001874
10,Y3,Y10,0.013714
10,Y5,Repo,0.106103
10,Y5,Y1,0.427372
10,Y5,Y3,0.254465
10,Y5,Y5,0.205229
10,Y5,Y10,0.006831
10,Y10,Repo,0.106182
10,Y10,Y1,0.285363
10,Y10,Y3,0.172381
10,Y10,Y5,0.196235
10,Y10,Y10,0.239839
11,Repo,Repo,0.859994
11,Repo,Y1,0.106768
11,Repo,Y3,0.027683
11,Repo,Y5,0.001853
11,Repo,Y10,0.003703
11,Y1,Repo,0.203488
11,Y1,Y1,0.726406
11,Y1,Y3,0.04746
11,Y1,Y5,0.00194
11,Y1,Y10,0.020706
11,Y3,Repo,0.162655
11,Y3,Y1,0.462148
11,Y3,Y3,0.359608
11,Y3,Y5,0.001874
11,Y3,Y10,0.013714
11,Y5,Repo,0.106103
11,Y5,Y1,0.427372
11,Y5,Y3,0.254465
11,Y5,Y5,0.205229
11,Y5,Y10,0.006831
11,Y10,Repo,0.106182
11,Y10,Y1,0.285363
11,Y10,Y3,0.172381
11,Y10,Y5,0.196235
11,Y10,Y10,0.239839
12,Repo,Repo,0.859994
12,Repo,Y1,0.106768
12,Repo,Y3,0.027683
12,Repo,Y5,0.001853
12,Repo,Y10,0.003703
12,Y1,Repo,0.203488
12,Y1,Y1,0.726406
12,Y1,Y3,0.04746
12,Y1,Y5,0.00194
12,Y1,Y10,0.020706
12,Y3,Repo,0.162655
12,Y3,Y1,0.462148
12,Y3,Y3,0.359608
12,Y3,Y5,0.001874
12,Y3,Y10,0.013714
12,Y5,Repo,0.106103
12,Y5,Y1,0.427372
12,Y5,Y3,0.254465
12,Y5,Y5,0.205229
12,Y5,Y10,0.006831
12,Y10,Repo,0.106182
12,Y10,Y1,0.285363
12,Y10,Y3,0.172381
12,Y10,Y5,0.196235
12,Y10,Y10,0.239839
13,Repo,Repo,0.859994
13,Repo,Y1,0.106768
13,Repo,Y3,0.027683
13,Repo,Y5,0.001853
13,Repo,Y10,0.003703
13,Y1,Repo,0.203488
13,Y1,Y1,0.726406
13,Y1,Y3,0.04746
13,Y1,Y5,0.00194
13,Y1,Y10,0.020706
13,Y3,Repo,0.162655
13,Y3,Y1,0.462148
13,Y3,Y3,0.359608
13,Y3,Y5,0.001874
13,Y3,Y10,0.013714
13,Y5,Repo,0.106103
13,Y5,Y1,0.427372
13,Y5,Y3,0.254465
13,Y5,Y5,0.205229
13,Y5,Y10,0.006831
13,Y10,Repo,0.106182
13,Y10,Y1,0.285363
13,Y10,Y3,0.172381
13,Y10,Y5,0.196235
13,Y10,Y10,0.239839
14,Repo,Repo,0.859994
14,Repo,Y1,0.106768
14,Repo,Y3,0.027683
14,Repo,Y5,0.001853
14,Repo,Y10,0.003703
14,Y1,Repo,0.203488
14,Y1,Y1,0.726406
14,Y1,Y3,0.04746
14,Y1,Y5,0.00194
14,Y1,Y10,0.020706
14,Y3,Repo,0.162655
14,Y3,Y1,0.462148
14,Y3,Y3,0.359608
14,Y3,Y5,0.001874
14,Y3,Y10,0.013714
14,Y5,Repo,0.106103
14,Y5,Y1,0.427372
14,Y5,Y3,0.254465
14,Y5,Y5,0.205229
14,Y5,Y10,0.006831
14,Y10,Repo,0.106182
14,Y10,Y1,0.285363
14,Y10,Y3,0.172381
14,Y10,Y5,0.196235
14,Y10,Y10,0.239839
15,Repo,Repo,0.859994
15,Repo,Y1,0.106768
15,Repo,Y3,0.027683
15,Repo,Y5,0.001853
15,Repo,Y10,0.003703
15,Y1,Repo,0.203488
15,Y1,Y1,0.726406
15,Y1,Y3,0.04746
15,Y1,Y5,0.00194
15,Y1,Y10,0.020706
15,Y3,Repo,0.162655
15,Y3,Y1,0.462148
15,Y3,Y3,0.359608
15,Y3,Y5,0.001874
15,Y3,Y10,0.013714
15,Y5,Repo,0.106103
15,Y5,Y1,0.427372
15,Y5,Y3,0.254465
15,Y5,Y5,0.205229
15,Y5,Y10,0.006831
15,Y10,Repo,0.106182
15,Y10,Y1,0.285363
15,Y10,Y3,0.172381
15,Y10,Y5,0.196235
15,Y10,Y10,0.239839
16,Repo,Repo,0.859994
16,Repo,Y1,0.106768
16,Repo,Y3,0.027683
16,Repo,Y5,0.001853
16,Repo,Y10,0.003703
16,Y1,Repo,0.203488
16,Y1,Y1,0.726406
16,Y1,Y3,0.04746
16,Y1,Y5,0.00194
16,Y1,Y10,0.020706
16,Y3,Repo,0.162655
16,Y3,Y1,0.462148
16,Y3,Y3,0.359608
16,Y3,Y5,0.001874
16,Y3,Y10,0.013714
16,Y5,Repo,0.106103
16,Y5,Y1,0.427372
16,Y5,Y3,0.254465
16,Y5,Y5,0.205229
16,Y5,Y10,0.006831
16,Y10,Repo,0.106182
16,Y10,Y1,0.285363
16,Y10,Y3,0.172381
16,Y10,Y5,0.196235
16,Y10,Y10,0.239839
17,Repo,Repo,0.859994
17,Repo,Y1,0.106768
17,Repo,Y3,0.027683
17,Repo,Y5,0.001853
17,Repo,Y10,0.003703
17,Y1,Repo,0.203488
17,Y1,Y1,0.726406
17,Y1,Y3,0.04746
17,Y1,Y5,0.00194
17,Y1,Y10,0.020706
17,Y3,Repo,0.162655
17,Y3,Y1,0.462148
17,Y3,Y3,0.359608
17,Y3,Y5,0.001874
17,Y3,Y10,0.013714
17,Y5,Repo,0.106103
17,Y5,Y1,0.427372
17,Y5,Y3,0.254465
17,Y5,Y5,0.205229
17,Y5,Y10,0.006831
17,Y10,Repo,0.106182
17,Y10,Y1,0.285363
17,Y10,Y3,0.172381
17,Y10,Y5,0.196235
17,Y10,Y10,0.239839
18,Repo,Repo,0.859994
18,Repo,Y1,0.106768
18,Repo,Y3,0.027683
18,Repo,Y5,0.001853
18,Repo,Y10,0.003703
18,Y1,Repo,0.203488
18,Y1,Y1,0.726406
18,Y1,Y3,0.04746
18,Y1,Y5,0.00194
18,Y1,Y10,0.020706
18,Y3,Repo,0.162655
18,Y3,Y1,0.462148
18,Y3,Y3,0.359608
18,Y3,Y5,0.001874
18,Y3,Y10,0.013714
18,Y5,Repo,0.106103
18,Y5,Y1,0.427372
18,Y5,Y3,0.254465
18,Y5,Y5,0.205229
18,Y5,Y10,0.006831
18,Y10,Repo,0.106182
18,Y10,Y1,0.285363
18,Y10,Y3,0.172381
18,Y10,Y5,0.196235
18,Y10,Y10,0.239839
19,Repo,Repo,0.859994
19,Repo,Y1,0.106768
19,Repo,Y3,0.027683
19,Repo,Y5,0.001853
19,Repo,Y10,0.003703
19,Y1,Repo,0.203488
19,Y1,Y1,0.726406
19,Y1,Y3,0.04746
19,Y1,Y5,0.00194
19,Y1,Y10,0.020706
19,Y3,Repo,0.162655
19,Y3,Y1,0.462148
19,Y3,Y3,0.359608
19,Y3,Y5,0.001874
19,Y3,Y10,0.013714
19,Y5,Repo,0.106103
19,Y5,Y1,0.427372
19,Y5,Y3,0.254465
19,Y5,Y5,0.205229
19,Y5,Y10,0.006831
19,Y10,Repo,0.106182
19,Y10,Y1,0.285363
19,Y10,Y3,0.172381
19,Y10,Y5,0.196235
19,Y10,Y10,0.239839
20,Repo,Repo,0.859994
20,Repo,Y1,0.106768
20,Repo,Y3,0.027683
20,Repo,Y5,0.001853
20,Repo,Y10,0.003703
20,Y1,Repo,0.203488
20,Y1,Y1,0.726406
20,Y1,Y3,0.04746
20,Y1,Y5,0.00194
20,Y1,Y10,0.020706
20,Y3,Repo,0.162655
20,Y3,Y1,0.462148
20,Y3,Y3,0.359608
20,Y3,Y5,0.001874
20,Y3,Y10,0.013714
20,Y5,Repo,0.106103
20,Y5,Y1,0.427372
20,Y5,Y3,0.254465
20,Y5,Y5,0.205229
20,Y5,Y10,0.006831
20,Y10,Repo,0.106182
20,Y10,Y1,0.285363
20,Y10,Y3,0.172381
20,Y10,Y5,0.196235
20,Y10,Y10,0.239839
21,Repo,Repo,0.859994
21,Repo,Y1,0.106768
21,Repo,Y3,0.027683
21,Repo,Y5,0.001853
21,Repo,Y10,0.003703
21,Y1,Repo,0.203488
21,Y1,Y1,0.726406
21,Y1,Y3,0.04746
21,Y1,Y5,0.00194
21,Y1,Y10,0.020706
21,Y3,Repo,0.162655
21,Y3,Y1,0.462148
21,Y3,Y3,0.359608
21,Y3,Y5,0.001874
21,Y3,Y10,0.013714
21,Y5,Repo,0.106103
21,Y5,Y1,0.427372
21,Y5,Y3,0.254465
21,Y5,Y5,0.205229
21,Y5,Y10,0.006831
21,Y10,Repo,0.106182
21,Y10,Y1,0.285363
21,Y10,Y3,0.172381
21,Y10,Y5,0.196235
21,Y10,Y10,0.239839
22,Repo,Repo,0.859994
22,Repo,Y1,0.106768
22,Repo,Y3,0.027683
22,Repo,Y5,0.001853
22,Repo,Y10,0.003703
22,Y1,Repo,0.203488
22,Y1,Y1,0.726406
22,Y1,Y3,0.04746
22,Y1,Y5,0.00194
22,Y1,Y10,0.020706
22,Y3,Repo,0.162655
22,Y3,Y1,0.462148
22,Y3,Y3,0.359608
22,Y3,Y5,0.001874
22,Y3,Y10,0.013714
22,Y5,Repo,0.106103
22,Y5,Y1,0.427372
22,Y5,Y3,0.254465
22,Y5,Y5,0.205229
22,Y5,Y10,0.006831
22,Y10,Repo,0.106182
22,Y10,Y1,0.285363
22,Y10,Y3,0.172381
22,Y10,Y5,0.196235
22,Y10,Y10,0.239839
23,Repo,Repo,0.859994
23,Repo,Y1,0.106768
23,Repo,Y3,0.027683
23,Repo,Y5,0.001853
23,Repo,Y10,0.003703
23,Y1,Repo,0.203488
23,Y1,Y1,0.726406
23,Y1,Y3,0.04746
23,Y1,Y5,0.00194
23,Y1,Y10,0.020706
23,Y3,Repo,0.162655
23,Y3,Y1,0.462148
23,Y3,Y3,0.359608
23,Y3,Y5,0.001874
23,Y3,Y10,0.013714
23,Y5,Repo,0.106103
23,Y5,Y1,0.427372
23,Y5,Y3,0.254465
23,Y5,Y5,0.205229
23,Y5,Y10,0.006831
23,Y10,Repo,0.106182
23,Y10,Y1,0.285363
23,Y10,Y3,0.172381
23,Y10,Y5,0.196235
23,Y10,Y10,0.239839
24,Repo,Repo,0.859994
24,Repo,Y1,0.106768
24,Repo,Y3,0.027683
24,Repo,Y5,0.001853
24,Repo,Y10,0.003703
24,Y1,Repo,0.203488
24,Y1,Y1,0.726406
24,Y1,Y3,0.04746
24,Y1,Y5,0.00194
24,Y1,Y10,0.020706
24,Y3,Repo,0.162655
24,Y3,Y1,0.462148
24,Y3,Y3,0.359608
24,Y3,Y5,0.001874
24,Y3,Y10,0.013714
24,Y5,Repo,0.106103
24,Y5,Y1,0.427372
24,Y5,Y3,0.254465
24,Y5,Y5,0.205229
24,Y5,Y10,0.006831
24,Y10,Repo,0.106182
24,Y10,Y1,0.285363
24,Y10,Y3,0.172381
24,Y10,Y5,0.196235
24,Y10,Y10,0.239839
