horizon,response,shock,irf,ci_lo,ci_hi
0,Repo,Repo,0.180511,0.151725,0.203201
0,Repo,Y1,0.0,0.0,0.0
0,Repo,Y3,0.0,0.0,0.0
0,Repo,Y5,0.0,0.0,0.0
0,Repo,Y10,0.0,0.0,0.0
0,Y1,Repo,0.141314,0.066965,0.220339
0,Y1,Y1,0.30875,0.255488,0.347421
0,Y1,Y3,0.0,0.0,0.0
0,Y1,Y5,0.0,0.0,0.0
0,Y1,Y10,0.0,0.0,0.0
0,Y3,Repo,0.108338,0.045381,0.172831
0,Y3,Y1,0.19882,0.1528,0.233509
0,Y3,Y3,0.17012,0.147461,0.18802
0,Y3,Y5,0.0,0.0,0.0
0,Y3,Y10,0.0,0.0,0.0
0,Y5,Repo,0.0827,0.024859,0.146903
0,Y5,Y1,0.187373,0.137846,0.229466
0,Y5,Y3,0.136683,0.108436,0.158006
0,Y5,Y5,0.117073,0.09941,0.126492
0,Y5,Y10,0.0,0.0,0.0
0,Y10,Repo,0.082805,0.022965,0.148561
0,Y10,Y1,0.14382,0.096533,0.187878
0,Y10,Y3,0.106762,0.081125,0.128346
0,Y10,Y5,0.108278,0.082823,0.12779
0,Y10,Y10,0.127967,0.110749,0.137933
1,Repo,Repo,0.064751,0.037059,0.090119
1,Repo,Y1,0.066258,0.042598,0.084209
1,Repo,Y3,0.027608,0.006691,0.046995
1,Repo,Y5,-0.008651,-0.027099,0.009756
1,Repo,Y10,-0.003389,-0.022636,0.015708
1,Y1,Repo,0.077855,0.037732,0.113515
1,Y1,Y1,0.024612,-0.015593,0.06141
1,Y1,Y3,0.077714,0.039731,0.114222
1,Y1,Y5,-0.015893,-0.046884,0.019936
1,Y1,Y10,-0.052273,-0.089588,-0.011345
1,Y3,Repo,0.04413,0.012883,0.072389
1,Y3,Y1,0.004832,-0.029602,0.038793
1,Y3,Y3,0.043589,0.013438,0.075395
1,Y3,Y5,-0.012459,-0.038884,0.016085
1,Y3,Y10,-0.034208,-0.062232,-0.001163
1,Y5,Repo,0.041745,0.011734,0.07026
1,Y5,Y1,0.00022,-0.03241,0.033699
1,Y5,Y3,0.047646,0.016266,0.076525
1,Y5,Y5,-0.053548,-0.078007,-0.023123
1,Y5,Y10,-0.023636,-0.052348,0.007349
1,Y10,Repo,0.027732,0.000496,0.051234
1,Y10,Y1,0.004907,-0.026309,0.035686
1,Y10,Y3,0.033561,0.002634,0.061136
1,Y10,Y5,-0.047645,-0.071983,-0.018103
1,Y10,Y10,-0.032746,-0.05935,-0.004651
2,Repo,Repo,0.026989,0.012097,0.042506
2,Repo,Y1,0.015129,0.002897,0.025923
2,Repo,Y3,0.020044,0.008188,0.032307
2,Repo,Y5,-0.002145,-0.008651,0.006858
2,Repo,Y10,-0.012095,-0.022141,-0.001205
2,Y1,Repo,0.02866,0.007235,0.050023
2,Y1,Y1,0.019323,0.002385,0.036881
2,Y1,Y3,0.014025,-0.001486,0.030513
2,Y1,Y5,0.000263,-0.01381,0.013826
2,Y1,Y10,-0.000289,-0.014293,0.012811
2,Y3,Repo,0.015744,0.000181,0.031019
2,Y3,Y1,0.011873,0.000174,0.0241
2,Y3,Y3,0.00633,-0.004057,0.018041
2,Y3,Y5,0.001646,-0.007359,0.009873
2,Y3,Y10,0.001616,-0.007315,0.01117
2,Y5,Repo,0.011302,-0.004121,0.025614
2,Y5,Y1,0.010676,-0.002568,0.023744
2,Y5,Y3,0.001416,-0.010042,0.014988
2,Y5,Y5,0.017026,0.005674,0.031385
2,Y5,Y10,-0.001767,-0.013416,0.00928
2,Y10,Repo,0.008825,-0.003607,0.019164
2,Y10,Y1,0.006735,-0.00631,0.01855
2,Y10,Y3,0.001806,-0.008836,0.01332
2,Y10,Y5,0.015428,0.003021,0.029632
2,Y10,Y10,-0.000719,-0.011016,0.011381
3,Repo,Repo,0.010603,0.002431,0.020295
3,Repo,Y1,0.006727,0.001548,0.012249
3,Repo,Y3,0.00633,0.001662,0.012099
3,Repo,Y5,-0.001227,-0.004691,0.002062
3,Repo,Y10,-0.001647,-0.005739,0.001971
3,Y1,Repo,0.011012,0.00197,0.023613
3,Y1,Y1,0.007387,0.000239,0.014635
3,Y1,Y3,0.007178,0.001318,0.014082
3,Y1,Y5,-0.002158,-0.008187,0.004212
3,Y1,Y10,-0.003608,-0.009915,0.000769
3,Y3,Repo,0.006162,1e-05,0.015464
3,Y3,Y1,0.004061,-0.000822,0.009139
3,Y3,Y3,0.004252,0.000249,0.009484
3,Y3,Y5,-0.001746,-0.006192,0.003427
3,Y3,Y10,-0.002293,-0.006496,0.000634
3,Y5,Repo,0.005845,0.000312,0.014169
3,Y5,Y1,0.003146,-0.002884,0.008435
3,Y5,Y3,0.004894,0.000488,0.009446
3,Y5,Y5,-0.007128,-0.014919,-0.00173
3,Y5,Y10,-0.000522,-0.005657,0.003832
3,Y10,Repo,0.004409,-6.4e-05,0.011426
3,Y10,Y1,0.002522,-0.002546,0.007174
3,Y10,Y3,0.003607,-0.00024,0.007863
3,Y10,Y5,-0.0063,-0.013846,-0.001171
3,Y10,Y10,-8.2e-05,-0.004989,0.003803
4,Repo,Repo,0.004038,0.000453,0.009662
4,Repo,Y1,0.002676,0.000222,0.005583
4,Repo,Y3,0.002511,0.000468,0.005568
4,Repo,Y5,-0.000324,-0.001508,0.001211
4,Repo,Y10,-0.001175,-0.003261,0.000213
4,Y1,Repo,0.004322,0.000191,0.011573
4,Y1,Y1,0.002712,-4.8e-05,0.006881
4,Y1,Y3,0.002692,6e-05,0.006455
4,Y1,Y5,-4.6e-05,-0.002645,0.002753
4,Y1,Y10,-0.001117,-0.003458,0.000751
4,Y3,Repo,0.002396,-0.000245,0.007448
4,Y3,Y1,0.001503,-0.000248,0.004392
4,Y3,Y3,0.001458,-0.000195,0.004074
4,Y3,Y5,0.00017,-0.001583,0.001942
4,Y3,Y10,-0.000618,-0.002322,0.000603
4,Y5,Repo,0.001741,-0.000772,0.006213
4,Y5,Y1,0.001354,-0.000582,0.004123
4,Y5,Y3,0.000729,-0.001513,0.003258
4,Y5,Y5,0.002196,-1.3e-05,0.00649
4,Y5,Y10,-0.001058,-0.003383,0.000676
4,Y10,Repo,0.00126,-0.000759,0.00446
4,Y10,Y1,0.001009,-0.000743,0.003398
4,Y10,Y3,0.000499,-0.001443,0.002556
4,Y10,Y5,0.001994,-3.9e-05,0.00582
4,Y10,Y10,-0.000924,-0.002857,0.000667
5,Repo,Repo,0.001598,5.5e-05,0.004749
5,Repo,Y1,0.001009,2.9e-05,0.002744
5,Repo,Y3,0.001012,0.000137,0.002542
5,Repo,Y5,-0.000185,-0.000906,0.000408
5,Repo,Y10,-0.000389,-0.001358,0.000194
5,Y1,Repo,0.001698,2.2e-05,0.005751
5,Y1,Y1,0.001091,-9.2e-05,0.003138
5,Y1,Y3,0.001069,5.5e-05,0.002962
5,Y1,Y5,-0.000303,-0.001566,0.000676
5,Y1,Y10,-0.000388,-0.001697,0.000282
5,Y3,Repo,0.000953,-0.0,0.003698
5,Y3,Y1,0.000609,-0.000144,0.002025
5,Y3,Y3,0.000608,-5.8e-05,0.001839
5,Y3,Y5,-0.000239,-0.001115,0.000573
5,Y3,Y10,-0.000202,-0.001121,0.000197
5,Y5,Repo,0.000892,-2e-06,0.003403
5,Y5,Y1,0.00047,-0.000517,0.001828
5,Y5,Y3,0.000688,-1e-06,0.001839
5,Y5,Y5,-0.000944,-0.003077,-0.00012
5,Y5,Y10,3.1e-05,-0.000807,0.000871
5,Y10,Repo,0.000684,-8e-06,0.002641
5,Y10,Y1,0.000345,-0.000487,0.001437
5,Y10,Y3,0.000542,-1.6e-05,0.001585
5,Y10,Y5,-0.000834,-0.002851,-6.6e-05
5,Y10,Y10,6.6e-05,-0.000628,0.000775
6,Repo,Repo,0.000617,2e-06,0.002337
6,Repo,Y1,0.0004,-1.1e-05,0.001306
6,Repo,Y3,0.000382,1.2e-05,0.001224
6,Repo,Y5,-5e-05,-0.000307,0.000228
6,Repo,Y10,-0.000159,-0.000709,4.6e-05
6,Y1,Repo,0.00065,-1.8e-05,0.002693
6,Y1,Y1,0.000423,-1.5e-05,0.001573
6,Y1,Y3,0.000401,-4.2e-05,0.00137
6,Y1,Y5,-1.5e-05,-0.000466,0.000545
6,Y1,Y10,-0.000183,-0.000813,0.00011
6,Y3,Repo,0.000359,-2.6e-05,0.001816
6,Y3,Y1,0.000236,-2.5e-05,0.001012
6,Y3,Y3,0.000218,-4.8e-05,0.000879
6,Y3,Y5,1.7e-05,-0.000296,0.000343
6,Y3,Y10,-0.000109,-0.000527,6.7e-05
6,Y5,Repo,0.000265,-0.000152,0.001498
6,Y5,Y1,0.000212,-8.4e-05,0.000863
6,Y5,Y3,0.000117,-0.00028,0.000787
6,Y5,Y5,0.000284,-7.7e-05,0.001417
6,Y5,Y10,-0.000163,-0.000658,7.5e-05
6,Y10,Repo,0.000192,-0.000141,0.001131
6,Y10,Y1,0.000161,-9.3e-05,0.00074
6,Y10,Y3,7.6e-05,-0.000302,0.00059
6,Y10,Y5,0.000259,-5.8e-05,0.001345
6,Y10,Y10,-0.000135,-0.000554,7.5e-05
7,Repo,Repo,0.000242,0.0,0.001098
7,Repo,Y1,0.000155,-1e-06,0.000643
7,Repo,Y3,0.000152,1e-06,0.000548
7,Repo,Y5,-2.8e-05,-0.000184,7.3e-05
7,Repo,Y10,-6.1e-05,-0.000305,2.8e-05
7,Y1,Repo,0.000258,-4e-06,0.001404
7,Y1,Y1,0.000164,-2.3e-05,0.000745
7,Y1,Y3,0.000164,-2e-06,0.000685
7,Y1,Y5,-4.3e-05,-0.000306,0.000119
7,Y1,Y10,-6e-05,-0.000406,4.8e-05
7,Y3,Repo,0.000145,-2e-06,0.000905
7,Y3,Y1,9.1e-05,-2.1e-05,0.000475
7,Y3,Y3,9.4e-05,-6e-06,0.00043
7,Y3,Y5,-3.3e-05,-0.000214,0.000107
7,Y3,Y10,-3.1e-05,-0.000248,3.8e-05
7,Y5,Repo,0.000134,-0.0,0.00082
7,Y5,Y1,7e-05,-9.9e-05,0.000404
7,Y5,Y3,0.000102,-2e-06,0.000416
7,Y5,Y5,-0.000126,-0.000688,-5e-06
7,Y5,Y10,1e-06,-0.000177,0.000186
7,Y10,Repo,0.000102,-1e-06,0.000615
7,Y10,Y1,5.2e-05,-8.7e-05,0.000318
7,Y10,Y3,8e-05,-5e-06,0.000351
7,Y10,Y5,-0.000111,-0.00063,-2e-06
7,Y10,Y10,5e-06,-0.000141,0.000137
8,Repo,Repo,9.4e-05,-1e-06,0.000545
8,Repo,Y1,6e-05,-3e-06,0.000315
8,Repo,Y3,5.8e-05,-1e-06,0.000275
8,Repo,Y5,-8e-06,-6.4e-05,4.5e-05
8,Repo,Y10,-2.4e-05,-0.000152,8e-06
8,Y1,Repo,9.9e-05,-4e-06,0.000654
8,Y1,Y1,6.4e-05,-4e-06,0.000383
8,Y1,Y3,6.1e-05,-9e-06,0.000311
8,Y1,Y5,-3e-06,-9.8e-05,0.000102
8,Y1,Y10,-2.7e-05,-0.000177,1.8e-05
8,Y3,Repo,5.5e-05,-4e-06,0.000437
8,Y3,Y1,3.6e-05,-4e-06,0.000245
8,Y3,Y3,3.3e-05,-6e-06,0.000209
8,Y3,Y5,2e-06,-6.3e-05,6.5e-05
8,Y3,Y10,-1.6e-05,-0.000118,1e-05
8,Y5,Repo,4.1e-05,-3.2e-05,0.000345
8,Y5,Y1,3.2e-05,-1.6e-05,0.000211
8,Y5,Y3,1.9e-05,-6.1e-05,0.000173
8,Y5,Y5,3.7e-05,-2.1e-05,0.000303
8,Y5,Y10,-2.3e-05,-0.000136,1.1e-05
8,Y10,Repo,3e-05,-3e-05,0.000251
8,Y10,Y1,2.4e-05,-1.2e-05,0.000164
8,Y10,Y3,1.3e-05,-6.3e-05,0.000134
8,Y10,Y5,3.4e-05,-1.7e-05,0.000297
8,Y10,Y10,-1.9e-05,-0.000107,9e-06
9,Repo,Repo,3.7e-05,-0.0,0.000256
9,Repo,Y1,2.4e-05,-1e-06,0.000156
9,Repo,Y3,2.3e-05,-0.0,0.000131
9,Repo,Y5,-4e-06,-3.7e-05,1.3e-05
9,Repo,Y10,-9e-06,-7.3e-05,5e-06
9,Y1,Repo,3.9e-05,-0.0,0.000337
9,Y1,Y1,2.5e-05,-4e-06,0.000191
9,Y1,Y3,2.5e-05,-1e-06,0.000159
9,Y1,Y5,-6e-06,-6.2e-05,2.1e-05
9,Y1,Y10,-9e-06,-9.4e-05,8e-06
9,Y3,Repo,2.2e-05,-0.0,0.000219
9,Y3,Y1,1.4e-05,-3e-06,0.000118
9,Y3,Y3,1.4e-05,-1e-06,0.000108
9,Y3,Y5,-5e-06,-4.3e-05,2e-05
9,Y3,Y10,-5e-06,-5.5e-05,7e-06
9,Y5,Repo,2e-05,-0.0,0.000198
9,Y5,Y1,1.1e-05,-2e-05,0.000102
9,Y5,Y3,1.5e-05,-0.0,9.9e-05
9,Y5,Y5,-1.7e-05,-0.000155,0.0
9,Y5,Y10,-1e-06,-4.4e-05,3.4e-05
9,Y10,Repo,1.5e-05,-0.0,0.00015
9,Y10,Y1,8e-06,-1.7e-05,8e-05
9,Y10,Y3,1.2e-05,-1e-06,8e-05
9,Y10,Y5,-1.5e-05,-0.000139,0.0
9,Y10,Y10,0.0,-3.2e-05,2.8e-05
10,Repo,Repo,1.4e-05,-0.0,0.000127
10,Repo,Y1,9e-06,-1e-06,7.6e-05
10,Repo,Y3,9e-06,-0.0,6.5e-05
10,Repo,Y5,-1e-06,-1.4e-05,8e-06
10,Repo,Y10,-4e-06,-3.7e-05,1e-06
10,Y1,Repo,1.5e-05,-1e-06,0.00016
10,Y1,Y1,1e-05,-0.0,9.5e-05
10,Y1,Y3,9e-06,-2e-06,7.6e-05
10,Y1,Y5,-1e-06,-1.8e-05,2e-05
10,Y1,Y10,-4e-06,-4.2e-05,3e-06
10,Y3,Repo,8e-06,-1e-06,0.000102
10,Y3,Y1,5e-06,-0.0,5.9e-05
